MARATHI WORD CALLS — ALL DONE

Your 116 calls are in the code. 3340 tests green, zero type errors, lint clean.
Nothing is deployed. Branch feat/labour-v2-r1, commits 61fbc03b + 208f5b90.

  changed ..................... 95   (of your 96)
  your own words .............. 1    (#15)
  rewritten, not deleted ...... 1    (#277 — your answer 2-b)
  kept as they are ............ 18
  NOT applied ................. 1    (#160 — your own answer 3-b)
                                ---
  your calls, in the code ..... 115 of 116

  same words swept app-wide ... 21   (your answer 1-a)

That is 118 edits in code. Slightly more than the calls, because #267 is two
keys (पुरुष and महिला) and slightly fewer, because #207 and #208 turned out to
be the same line.

==============================================================================
CHANGED (96)
==============================================================================

#1 setup-hub  ✓
   was:  कामाच्या नोंदी
   now:  कामाचा हिशोब

#3 setup-hub  ✓
   was:  पैसे व हिशोब · Finance
   now:  पैसे व हिशोब

#4 setup-hub  ✓
   was:  कुटुंब आणि कामगारांचा प्रवेश व्यवस्थापित करा
   now:  कोणाला काय जबाबदारी, ते इथे ठरवा.

#6 setup-hub  ✓
   was:  अजून संघ सदस्य नाहीत
   now:  अजून कोणी संघात नाही

#7 setup-hub  ✓
   was:  शेत व्यवस्थापनासाठी कुटुंब किंवा कामगार जोडा.
   now:  शेतात मदत करणाऱ्यांची नावं जोडा — घरातली किंवा बाहेरची.

#8 setup-hub  ✓
   was:  नोंद करू द्या
   now:  नोंद करण्याची जबाबदारी

#10 main-log-banner  ✓
   was:  कामाच्या नोंदींकडे परत जा — back to the work records
   now:  कामाच्या नोंदींकडे परत जा

#11 main-log-banner  ✓
   was:  कामाच्या नोंदींसाठी
   now:  कामाच्या हिशोबासाठी

#12 main-log-banner  ✓
   was:  हजेरी · मजूर · मजुरी बोला
   now:  कोण आलं · किती जण · किती मजुरी — बोला

#13 main-log-banner  ✓
   was:  कामाच्या नोंदी
   now:  कामाचा हिशोब

#19 processing-character  ✓
   was:  दिवसभराच्या कामातून दिलेला एक मिनिट, शेतातलं प्रत्येक काम सांभाळण्याच्या दिशेने तुमचं पहिलं पाऊल आहे.
   now:  दिवसातला एक मिनिट दिलात — शेतावरची पकड इथूनच सुरू होते.

#21 processing-character  ✓
   was:  जे नोंद ठेवत नाहीत त्यांच्यासाठी असतो अंदाज; जे ठेवतात त्यांच्यासाठी असते नियोजनबद्ध दिशा.
   now:  आजचं काम आज नोंदवलं, तर उद्याचा निर्णय अंदाजावर राहत नाही.

#23 processing-character  ✓
   was:  प्रगतशील शेतकरी शंकेवर नाही, स्वतःच्या नोंदींवरून निर्णय घेतो.
   now:  हुशार शेतकरी शंकेवर नाही, स्वतःच्या नोंदींवर निर्णय घेतो.

#25 processing-character  ✓
   was:  तुम्ही मोजायला लागता, त्याच क्षणी नशीब तुमच्या शेतीवर राज्य करणं थांबवतं.
   now:  मोजायला लागलात, की शेती नशिबावर राहत नाही.

#30 processing-character  ✓
   was:  हंगामाचा अंदाज बांधण्यापासून त्याचं नियोजन करण्यापर्यंत — हाच खरा बदल आहे.
   now:  पुढची शेती अंदाजावर नाही, नोंदीवर चालणार आहे.

#33 hub  ✓
   was:  कामाच्या नोंदी
   now:  कामाचा हिशोब

#43 hub  ✓
   was:  N दिवसाच्या हिशोबाने
   now:  दिवसाच्या हिशोबाने N जण

#44 hub  ✓
   was:  N उक्ते
   now:  उक्त्या कामावर N जण

#57 hub  ✓
   was:  N मजूर
   now:  N जण

#60 hub  ✓
   was:  'टीम सेटअप'मध्ये कोण नोंद करू शकतो ते ठरतं; इथे त्यांनी काय केलं आणि त्यावर किती विश्वास — ते दिसतं व ठरतं.
   now:  'माझा शेत संघ'मध्ये कोणाला नोंद करता येईल ते ठरतं. इथे त्यांनी काय केलं ते दिसतं.

#63 hub  ✓
   was:  अजून कोणी कामगार जोडलेला नाही
   now:  अजून कोणाचंही नाव जोडलेलं नाही

#64 hub  ✓
   was:  खालचं बटण दाबा आणि कामगाराला QR दाखवा.
   now:  खालचं बटण दाबा आणि समोरच्याला QR दाखवा.

#66 hub  ✓
   was:  मुकादम
   now:  जबाबदार

#68 hub  ✓
   was:  {task} टीम
   now:  फक्त {task}साठी

#70 hub  ✓
   was:  फक्त नाव
   now:  फक्त नाव माहीत

#82 register  ✓
   was:  नाही
   now:  आला नाही

#89 register  ✓
   was:  दिवस
   now:  नाव

#90 register  ✓
   was:  {name}सोबत
   now:  {name}सोबत आलेले

#92 register  ✓
   was:  बोलून किंवा नोंद करून हजेरी घेतल्यावर ती इथे दिवसागणिक दिसेल.
   now:  बोलून किंवा नोंद करून हजेरी घेतली, की ती इथे रोजच्या रोज दिसेल.

#93 register  ✓
   was:  हिरवा = आला · पिवळा = अर्धा दिवस · राखाडी = नाही.
   now:  हिरवा = आला · पिवळा = अर्धा · राखाडी = आला नाही.

